domain name,responseStart,domInteractive,domComplete
google.com,556.0050000003685,1627.7800000007119,2591.535000001386
facebook.com,489.675000000716,1072.0700000001668,1355.730000001131
youtube.com,56.42000000079861,3779.7350000000733,3812.325000000783
instagram.com,365.5049999997572,593.5950000002778,626.220000000103
doubleclick.net,76.19499999964319,1752.7649999992718,1778.7900000002994
googletagmanager.com,11.80999999996857,1014.2999999989116,1014.4249999993916
googleusercontent.com,26.44999999938591,182.409999999436,182.98499999946216
goo.gl,54.42500000026485,115.78000000008616,151.53499999905762
blogspot.com,380.65499999902397,1012.1749999998427,1286.6950000006912
google-analytics.com,36.07999999985623,1379.079999998794,1514.1999999996187
fbcdn.net,433.1750000001193,1171.0949999996953,1614.4600000006906
myshopify.com,194.1999999999097,4292.120000000068,4293.105000000652
medium.com,1316.6049999999816,2981.5250000010565,6940.8000000003085
google.com.hk,122.18499999835329,462.69499999834807,1076.24499999838
googlevideo.com,21.725000000515138,64.32999999924505,66.74000000020897
cloudflare.com,81.11499999904481,575.8349999996426,701.7500000001745
googleadservices.com,12.169999999969153,74.66500000009545,79.9299999998766
google.co.in,96.67500000068684,221.23500000088825,570.160000001124
tinyurl.com,1081.625000000713,1354.960000000574,5165.020000000368
google.de,116.36499999985972,235.3849999999511,477.19000000142836
yy.com,1618.3000000000902,1673.8100000002305,1701.100000000224
google.co.jp,102.9499999986001,283.8749999991705,529.6799999996438
youtube-nocookie.com,69.20499999978347,143.07000000007974,182.45000000024447
google.com.br,118.175000001429,219.81000000050705,470.0250000005326
google.co.uk,108.5750000002008,200.29500000055125,357.55000000062864
google.cn,66.04999999944994,103.54000000006636,142.0350000007602
blogger.com,132.2149999996327,279.29000000040105,358.1450000001496
fb.com,514.2700000014884,915.3500000011264,1248.8700000012614
google.es,109.73000000012688,288.84499999912805,799.1949999995993
google.fr,109.30000000007568,509.2699999986508,925.2849999993488
google.ru,108.71000000042841,300.73000000083994,629.8999999999069
google.it,104.39500000029513,217.4549999999726,479.1650000006483
gmail.com,157.36999999899123,385.36000000021886,385.7699999989563
android.com,23.31000000049244,77.93499999934284,288.1049999996321
googletagservices.com,68.55999999970663,133.0699999998615,133.16499999928055
addtoany.com,49.10500000005413,164.33499999948253,229.074999999284
google.ca,130.0150000006397,237.77499999960128,486.88500000025664
google.com.sg,121.97500000002036,243.65500000021717,700.0600000010309
google.com.tw,156.4699999998993,363.90500000015885,835.3049999986978
discord.com,101.29000000051748,1942.1500000007654,2177.5850000012724
tandfonline.com,636.2150000004476,960.7599999999367,5152.475000000777
shopify.com,220.56999999949767,8269.524999999703,8282.404999999926
pixabay.com,443.4399999991001,536.4800000006653,685.5599999998958
pki.goog,111.38499999833584,374.7149999999238,427.0099999994272
crashlytics.com,304.07999999988533,622.0400000001972,6957.124999998997
google.com.mx,102.325000001656,360.4150000010122,1111.7900000008376
hubspot.com,99.59999999955471,4679.80499999976,4970.475000000079
google.com.tr,111.28500000086208,395.9600000016508,668.4000000004744
feedburner.com,455.14999999977584,638.7599999998201,689.7649999991701
arnebrachhold.de,46.234999999796855,227.98499999953486,4111.965000000055
google.com.vn,108.11000000103377,309.3349999999192,821.9800000006218
teamviewer.com,2.02999999964959,4070.324999998775,4077.25500000015
worldometers.info,583.3849999999072,4939.309999999749,9047.585000000254
google.co.th,117.7800000004936,387.2799999990093,816.1650000001828
google.pl,145.18000000134634,364.7849999997561,850.3700000001116
business.site,89.35500000006869,858.5700000003271,1015.7199999994192
metropoles.com,66.57499999892025,1126.5949999997247,5260.64999999835
google.com.ar,345.95500000068563,529.1799999995419,982.7550000009066
google.com.sa,106.4750000005006,270.0650000006135,674.9850000014702
google.com.au,236.76999999952386,344.61000000010245,549.6000000002823
google.co.id,119.34000000110242,232.16499999944062,764.3499999994673
google.com.eg,202.25500000015012,404.2000000008557,763.8399999996183
appspot.com,189.169999999649,367.3099999996339,392.6400000000285
fb.me,550.4700000001321,992.4149999988003,1286.3600000000588
