no,website,http_version,status,remote_ip,remote_port,time_appconnect,time_connect,time_namelookup,time_pretransfer,time_redirect,time_starttransfer,time_total
1,https://www.google.com,2,ok,172.217.23.164,443,0.057557,0.021735,0.020279,0.057961,0.000000,0.105875,0.106119
2,https://www.facebook.com,2,ok,157.240.9.35,443,0.080313,0.035644,0.007352,0.080460,0.000000,0.278586,0.389824
3,https://www.youtube.com,2,ok,216.58.205.238,443,0.031090,0.013286,0.011309,0.031234,0.000000,0.100310,0.543727
7,https://www.instagram.com,2,ok,185.60.216.174,443,0.019973,0.006215,0.004289,0.020081,0.000000,0.215082,0.216666
18,https://www.doubleclick.net,2,ok,172.217.23.174,443,0.036522,0.012575,0.010832,0.036608,0.000000,0.045232,0.045364
21,https://www.googletagmanager.com,2,ok,172.217.23.104,443,0.052372,0.011598,0.010329,0.052533,0.000000,0.061034,0.061148
34,https://www.googleusercontent.com,2,ok,172.217.22.97,443,0.035628,0.012607,0.011144,0.035716,0.000000,0.045349,0.045442
37,https://www.goo.gl,2,ok,216.58.212.174,443,0.036779,0.018866,0.014845,0.036879,0.000000,0.156256,0.156342
42,https://www.blogspot.com,2,ok,172.217.22.41,443,0.047652,0.025352,0.024208,0.047793,0.000000,0.620770,0.620903
45,https://www.google-analytics.com,2,ok,172.217.18.174,443,0.023516,0.004154,0.002780,0.023655,0.000000,0.069124,0.069225
48,https://www.fbcdn.net,2,ok,157.240.9.35,443,0.083347,0.037802,0.010683,0.083493,0.000000,0.221497,0.221543
55,https://www.myshopify.com,2,ok,23.227.38.74,443,0.025241,0.006259,0.004173,0.025350,0.000000,0.188995,0.189111
67,https://www.medium.com,2,ok,104.16.118.145,443,0.023723,0.007092,0.005844,0.023812,0.000000,0.160412,0.160496
75,https://www.google.com.hk,2,ok,172.217.22.3,443,0.036467,0.015475,0.012362,0.036617,0.000000,0.073987,0.074493
84,https://www.googlevideo.com,2,ok,172.217.23.164,443,0.038286,0.013421,0.011704,0.038425,0.000000,0.046794,0.046902
94,https://www.cloudflare.com,2,ok,104.16.124.96,443,0.027934,0.008255,0.007057,0.028078,0.000000,0.109057,0.113408
95,https://www.googleadservices.com,2,ok,142.250.74.194,443,0.039364,0.012292,0.011228,0.039505,0.000000,0.048688,0.048773
114,https://www.google.co.in,2,ok,216.58.212.163,443,0.031819,0.013220,0.010538,0.031935,0.000000,0.072939,0.073390
127,https://www.tinyurl.com,2,ok,104.20.139.65,443,0.022020,0.007709,0.006966,0.022174,0.000000,0.558256,0.558314
131,https://www.google.de,2,ok,172.217.16.163,443,0.037877,0.012088,0.010701,0.038080,0.000000,0.078925,0.079246
132,https://www.yy.com,2,ok,103.227.121.100,443,1.622295,0.635478,0.308838,1.622466,0.000000,1.948901,3.238609
146,https://www.google.co.jp,2,ok,172.217.23.99,443,0.031567,0.013603,0.012436,0.031660,0.000000,0.073509,0.074372
153,https://www.youtube-nocookie.com,2,ok,172.217.23.142,443,0.031510,0.012436,0.011066,0.031618,0.000000,0.048395,0.048527
157,https://www.google.com.br,2,ok,172.217.23.131,443,0.031434,0.013604,0.011056,0.031539,0.000000,0.080474,0.081040
179,https://www.google.co.uk,2,ok,172.217.16.163,443,0.043075,0.014422,0.011307,0.043221,0.000000,0.084960,0.085395
188,https://www.google.cn,2,ok,172.217.22.3,443,0.032518,0.012853,0.010252,0.032635,0.000000,0.052912,0.053003
190,https://www.blogger.com,2,ok,172.217.22.41,443,0.035643,0.011675,0.010785,0.035794,0.000000,0.108023,0.108123
200,https://www.fb.com,2,ok,185.60.216.35,443,0.032115,0.011869,0.008511,0.032221,0.000000,0.130456,0.130510
220,https://www.google.es,2,ok,172.217.18.99,443,0.029464,0.012200,0.011058,0.029555,0.000000,0.073055,0.073516
225,https://www.google.fr,2,ok,172.217.18.3,443,0.034256,0.016121,0.012990,0.034373,0.000000,0.076052,0.076537
227,https://www.google.ru,2,ok,216.58.212.131,443,0.126407,0.103456,0.100143,0.126515,0.000000,0.166464,0.166858
244,https://www.google.it,2,ok,216.58.207.67,443,0.035198,0.011626,0.010439,0.035293,0.000000,0.117851,0.118245
273,https://www.gmail.com,2,ok,172.217.18.101,443,0.034502,0.014122,0.010818,0.034592,0.000000,0.043456,0.043612
282,https://www.android.com,2,ok,172.217.23.174,443,0.031828,0.012303,0.010354,0.031912,0.000000,0.079145,0.105685
