no,domain name,website,status,remote_ip,remote_port,time_appconnect,time_connect,time_namelookup,time_pretransfer,time_redirect,time_starttransfer,time_total
383,google.com.mx,https://www.google.com.mx,ok,142.250.74.195,443.0,0.0,0.247252,0.226784,0.247384,0.0,0.476799,0.5038130000000001
394,hubspot.com,https://www.hubspot.com,ok,199.60.103.30,443.0,0.0,0.244573,0.233033,0.244698,0.0,0.733093,0.738064
415,google.com.tr,https://www.google.com.tr,ok,172.217.22.35,443.0,0.0,0.240158,0.225903,0.240294,0.0,0.476008,0.5021329999999999
419,feedburner.com,https://www.feedburner.com,ok,142.250.74.206,443.0,0.0,0.247764,0.235584,0.247867,0.0,0.472515,0.49834
426,arnebrachhold.de,https://www.arnebrachhold.de,ok,172.67.130.228,443.0,0.0,0.245229,0.010892,0.24533600000000005,0.0,0.493344,0.493486
444,google.com.vn,https://www.google.com.vn,ok,216.58.205.227,443.0,0.0,0.242802,0.013836,0.242916,0.0,0.49163,0.520762
461,teamviewer.com,https://www.teamviewer.com,ok,104.16.62.16,443.0,0.0,2.488121,0.011909,2.488263,0.0,2.735348,2.73542
469,worldometers.info,https://www.worldometers.info,ok,104.26.5.2,443.0,0.0,0.24567,0.238424,0.245775,0.0,0.483946,0.501869
496,google.co.th,https://www.google.co.th,ok,172.217.21.195,443.0,0.0,0.246359,0.015007,0.246473,0.0,0.4950310000000001,1.496151
511,google.pl,https://www.google.pl,ok,216.58.212.163,443.0,0.0,0.023676,0.011362,0.023782,0.0,0.249738,0.276068
517,business.site,https://www.business.site,ok,216.58.207.46,443.0,0.0,4.00015,2.237919,4.0003160000000015,0.0,4.223053,4.248889
518,metropoles.com,https://www.metropoles.com,ok,104.18.24.118,443.0,0.0,1.493588,0.0097,1.49373,0.0,1.729927,1.747769
544,google.com.ar,https://www.google.com.ar,ok,172.217.23.99,443.0,0.0,0.255467,0.241233,0.255605,0.0,0.491238,0.491366
545,google.com.sa,https://www.google.com.sa,ok,216.58.208.35,443.0,0.0,0.240769,0.2265780000000001,0.240909,0.0,0.47666,0.502796
560,google.com.au,https://www.google.com.au,ok,216.58.207.35,443.0,0.0,1.240383,0.010801,1.240506,0.0,1.489257,1.489413
561,google.co.id,https://www.google.co.id,ok,172.217.21.195,443.0,0.0,0.248928,0.236858,0.249044,0.0,0.487057,0.513012
590,google.com.eg,https://www.google.com.eg,ok,216.58.212.131,443.0,0.0,0.253181,0.235559,0.253308,0.0,0.4745470000000001,0.724291
610,appspot.com,https://www.appspot.com,ok,172.217.23.110,443.0,0.0,1.2571450000000002,0.01822,1.2572530000000002,0.0,1.26672,1.266852
624,fb.me,https://www.fb.me,ok,157.240.9.35,443.0,0.0,0.728543,0.473956,0.7286600000000001,0.0,0.974021,0.974091
631,pcmag.com,https://www.pcmag.com,ok,104.17.142.99,443.0,0.0,0.014478,0.00824,0.014581,0.0,0.246623,0.256206
647,glassdoor.com,https://www.glassdoor.com,ok,104.17.91.51,443.0,0.0,0.23734,0.232318,0.237448,0.0,0.472926,1.474064
668,discordapp.com,https://www.discordapp.com,ok,162.159.129.233,443.0,0.0,0.018362,0.009158,0.018472,0.0,0.24121,1.242133
675,pexels.com,https://www.pexels.com,ok,104.17.209.102,443.0,0.0,0.241468,0.235746,0.241585,0.0,0.26603000000000004,0.485493
683,y2mate.com,https://www.y2mate.com,ok,104.23.131.73,443.0,0.0,0.236051,0.22865,0.236192,0.0,0.478246,1.481365
695,g.page,https://www.g.page,ok,142.250.74.206,443.0,0.0,0.244609,0.230152,0.244716,0.0,0.480076,0.480151
711,messenger.com,https://www.messenger.com,ok,157.240.9.18,443.0,0.0,1.98273,0.010329,1.982871,0.0,3.2563720000000003,4.758892
740,thepiratebay.org,https://www.thepiratebay.org,ok,162.159.136.6,443.0,0.0,2.73083,2.724189,2.7309810000000003,0.0,3.4738550000000004,3.474002
749,namu.wiki,https://www.namu.wiki,ok,104.16.181.45,443.0,0.0,1.991169,1.975156,1.991279,0.0,2.224955,3.225997
752,gstatic.com,https://www.gstatic.com,ok,142.250.74.195,443.0,0.0,1.484269,0.012667,1.484384,0.0,1.496571,1.496684
757,jotform.com,https://www.jotform.com,ok,104.23.133.11,443.0,0.0,0.24739,0.239974,0.247515,0.0,0.740017,0.998179
762,blogspot.co.uk,https://www.blogspot.co.uk,ok,172.217.23.137,443.0,0.0,0.246687,0.014689,0.246801,0.0,0.4952220000000001,0.522233
774,mgid.com,https://www.mgid.com,ok,104.19.136.78,443.0,0.0,0.017981,0.011311,0.018083,0.0,1.988111,2.244477
787,googleblog.com,https://www.googleblog.com,ok,216.58.208.33,443.0,0.0,2.021976,0.027884,2.022085,0.0,2.241276,2.241402
