no,website,responseStart,domInteractive,domComplete,nextHopProtocol
3955,https://www.vklass.se,490.91000000044005,4868.484999999056,8734.849999998914,h3-29
3987,https://www.beauty321.com,2116.3649999998597,3236.720000000787,6449.814999999944,h3-29
3988,https://www.jagonews24.com,966.6349999988596,1724.5549999988723,2355.05000000012,h3-29
4034,https://www.crowd1.com,214.20500000022,920.124999998734,4923.259999999573,h3-29
4037,https://www.golang.org,263.8650000008056,493.8000000001921,1420.7100000003265,h3-29
4043,https://www.ennaharonline.com,141.34500000000116,1128.469999999652,4957.6949999991475,h3-29
4057,https://www.turbo.az,168.4400000012829,4389.0100000007815,8750.740000001315,h3-29
4091,https://www.tap.az,536.8499999985943,1094.8349999998754,6490.490000000135,h3-29
4103,https://www.google.com.ec,118.06500000056984,386.5500000010797,1204.5250000010128,h3-29
4144,https://www.telugustop.com,1345.674999998664,6494.810000000143,14572.844999998779,h3-29
4154,https://www.laleggepertutti.it,63.39500000103725,8183.360000000904,9092.094999999972,h3-29
4166,https://www.omegle.com,30.964999999923748,403.36999999999534,1045.1200000006793,h3-29
4171,https://www.hltv.org,87.91500000006636,721.4899999999034,5149.790000001303,h3-29
4187,https://www.whmcs.com,680.8199999995851,1231.2699999984034,5356.614999998783,h3-29
4238,https://www.google.com.do,131.51000000107157,381.18500000018685,656.9450000006328,h3-29
4243,https://www.socialmediaexaminer.com,87.34499999991384,4433.909999999742,8680.695000000924,h3-29
4252,https://www.vitalsource.com,426.9899999999325,908.4100000000036,5265.51500000096,h3-29
4253,https://www.jut.su,204.4000000005326,4364.475000000311,4687.3599999999,h3-29
4303,https://www.fragrantica.com,445.0049999995826,530.9749999996711,846.6550000011922,h3-29
4313,https://www.pmi.org,153.68000000125903,377.10000000151916,429.004999999961,h3-29
4315,https://www.androidpolice.com,253.74499999998082,5564.800000000105,9570.480000000316,h3-29
4329,https://www.annals.org,2691.530000000057,3644.2150000002575,7554.13000000044,h3-29
4337,https://www.coingecko.com,246.38000000049942,1210.9049999999115,5889.885000000504,h3-29
4338,https://www.acpjournals.org,673.1199999994715,1476.9449999985227,5241.804999999658,h3-29
4368,https://www.google.com.kw,106.70500000014728,376.73499999982596,1199.3399999992107,h3-29
4390,https://www.fishki.net,352.53499999998894,5635.42999999845,9762.199999999211,h3-29
4404,https://www.corporatefinanceinstitute.com,1650.2949999994598,6114.445000001069,12547.754999999597,h3-29
4410,https://www.rapidtables.com,82.26500000091619,4389.455000000453,9632.499999999709,h3-29
4491,https://www.google.com.ng,237.90499999995518,1003.5399999997026,1920.254999999088,h3-29
4499,https://www.blogspot.ru,538.3600000004661,904.0299999996932,1036.3049999996292,h3-29
4525,https://www.scitation.org,869.1949999993085,2550.489999999627,6792.3549999995885,h3-29
4553,https://www.pianmenw.com,133.19500000034168,319.87999999910244,323.2299999999668,h3-29
4562,https://www.sportzwiki.com,1019.4099999989703,1945.5749999997352,5326.729999998861,h3-29
4568,https://www.bibox.com,1454.105000000709,11243.290000000345,11248.115000000325,h3-29
4575,https://www.rae.es,283.52000000086264,1107.9850000005536,1452.1350000013626,h3-29
4661,https://www.google.lv,122.90000000029976,349.5050000001356,920.734999999695,h3-29
4669,https://www.encuentra24.com,578.815000000759,4818.310000000565,8833.465000001523,h3-29
4680,https://www.google.iq,113.39999999836435,247.23999999878288,539.8399999994582,h3-29
4735,https://www.shahid4u.one,652.4850000005246,5281.025000000227,23310.304999999058,h3-29
4742,https://www.blogspot.se,1006.9100000000617,1240.895000000819,1393.6850000009147,h3-29
4745,https://www.smartinsights.com,110.82499999974969,923.1949999993958,5067.010000000664,h3-29
4766,https://www.warriorplus.com,871.4949999994133,6131.155000000945,14017.180000000735,h3-29
4843,https://www.harrods.com,2070.3549999998363,2780.070000000705,2791.230000000723,h3-29
4878,https://www.annualreviews.org,521.5250000001106,4889.909999999873,8612.759999999978,h3-29
4902,https://www.hostinger.com,60.47000000035041,538.0649999988236,3348.7150000000843,h3-29
4915,https://www.hse.gov.uk,180.88499999976196,784.6300000001065,4553.984999998647,h3-29
4957,https://www.clickagy.com,570.6049999989773,2008.3699999995588,18666.98499999984,h3-29
5007,https://www.crisp.chat,136.10000000153374,307.7200000006997,4314.560000000711,h3-29
5012,https://www.googleoptimize.com,12.050000001181614,80.07499999985156,85.560000001351,h3-29
5019,https://www.linode.com,233.7749999987864,582.0050000002084,765.0749999993421,h3-29
5033,https://www.google.co.ao,104.4000000001688,333.43000000058964,1007.4499999991533,h3-29
5058,https://www.google.si,106.27000000022235,277.04499999890686,546.9699999994191,h3-29
5069,https://www.16personalities.com,233.56000000057972,718.1650000002264,895.6450000005133,h3-29
5099,https://www.mynewsdesk.com,570.4550000009476,8636.189999999258,12638.5250000003,h3-29
5109,https://www.runescape.wiki,470.115000000078,1216.7499999995925,1940.8050000001824,h3-29
5122,https://www.fullhdfilmizlesene.com,148.3250000001135,358.7000000006811,468.2899999988877,h3-29
5153,https://www.cettire.com,210.784999999305,12373.439999999393,28878.324999999677,h3-29
5160,https://www.parade.com,50.33999999977822,260.9599999996135,688.6999999987892,h3-29
5161,https://www.wordcounter.net,438.9150000006338,1064.8349999992206,1234.1699999997218,h3-29
5305,https://www.slidesgo.com,172.30500000005122,4531.000000000859,8553.160000001299,h3-29
5324,https://www.jamendo.com,198.91500000085216,4340.83500000088,4860.215000000608,h3-29
5345,https://www.colourpop.com,452.5199999989127,8587.944999999308,28615.374999999403,h3-29
5377,https://www.google.tn,112.56500000126834,225.8899999997084,486.45500000020553,h3-29
5386,https://www.google.org,91.84999999888531,429.1899999989255,454.3599999997241,h3-29
5408,https://www.google.jo,114.25000000053842,220.07500000108848,490.9550000011223,h3-29
5429,https://www.yalla-shoot.com,656.6100000000006,943.8850000005914,1569.020000000819,h3-29
5432,https://www.lasvegassun.com,896.3500000008936,1328.3150000006572,5350.814999999784,h3-29
5450,https://www.tweaktown.com,65.5800000004092,4250.28999999995,4255.854999999428,h3-29
