no,website,http_version,status,remote_ip,remote_port,time_appconnect,time_connect,time_namelookup,time_pretransfer,time_redirect,time_starttransfer,time_total
978,https://www.m.me,2,ok,157.240.9.18,443,0.071135,0.03211,0.005168,0.07122200000000001,0.0,0.22088200000000002,0.220939
1014,https://www.businessinsider.de,2,ok,104.22.66.154,443,0.0234,0.0070810000000000005,0.005815,0.023509,0.0,0.085353,0.088716
1033,https://www.spankbang.com,2,ok,104.19.136.100,443,0.048498,0.019571,0.018363,0.048627,0.0,0.197522,0.197633
1036,https://www.etoro.com,2,ok,104.18.19.67,443,0.038784,0.019562,0.018746000000000002,0.038903,0.0,0.127655,0.139178
1044,https://www.google.co.ve,2,ok,172.217.22.67,443,0.034626,0.011743,0.011081,0.034763,0.0,0.076765,0.077098
1054,https://www.viva.co.id,2,ok,104.20.150.112,443,0.037735000000000005,0.015666,0.014466,0.037920999999999996,0.0,0.076625,0.078139
1078,https://www.yts.mx,2,ok,104.26.7.75,443,0.04007,0.023646,0.02281,0.040187,0.0,0.051824,0.051869000000000005
1093,https://www.google.com.my,2,ok,216.58.212.131,443,0.030105,0.011988,0.01034,0.030233,0.0,0.066387,0.066727
1108,https://www.google.be,2,ok,172.217.23.99,443,0.042601,0.024926,0.023355,0.042711,0.0,0.085001,0.085662
1131,https://www.mdpi.com,2,ok,104.18.25.151,443,0.058448,0.016243,0.015056,0.058603999999999996,0.0,0.08540299999999999,0.08795700000000001
1166,https://www.colorlib.com,2,ok,104.22.47.110,443,0.08504,0.009172,0.00784,0.085154,0.0,1.305028,1.305075
1181,https://www.dcard.tw,2,ok,104.16.204.58,443,0.024186000000000003,0.00809,0.007104000000000001,0.02433,0.0,0.347607,0.34770500000000004
1212,https://www.google.ch,2,ok,172.217.22.35,443,0.052213,0.026494999999999998,0.025189,0.052368,0.0,0.095687,0.096076
1214,https://www.google.com.ph,2,ok,172.217.16.131,443,0.036052999999999995,0.017861000000000002,0.010362,0.036167000000000005,0.0,0.078899,0.079111
1250,https://www.google.co.za,2,ok,216.58.207.67,443,0.031785,0.014274,0.01257,0.03191,0.0,0.073015,0.073407
1255,https://www.google.cl,2,ok,172.217.23.99,443,0.045716,0.027406,0.024386,0.045850999999999996,0.0,0.086556,0.08694600000000001
1258,https://www.thehindu.com,2,ok,104.18.13.153,443,0.022014,0.0071010000000000005,0.005866,0.022105,0.0,0.046102,0.055317
1261,https://www.billboard.com,2,ok,104.17.107.31,443,0.029332999999999998,0.011387000000000001,0.010481,0.029445999999999996,0.0,0.07059700000000001,0.09953200000000001
1263,https://www.greenpeace.org,2,ok,104.20.53.128,443,0.06465599999999999,0.044393,0.043403,0.06480599999999999,0.0,0.190217,0.19026700000000002
1272,https://www.yolasite.com,2,ok,104.16.160.215,443,0.031652,0.009011,0.008142,0.031758,0.0,0.341862,0.341946
1287,https://www.doordash.com,2,ok,104.18.22.233,443,0.038228,0.009984,0.008916,0.038377999999999995,0.0,0.056948,0.05703300000000001
1291,https://www.google.az,2,ok,172.217.18.99,443,0.037022,0.011983,0.010437,0.037111,0.0,0.082467,0.082807
1298,https://www.google.at,2,ok,216.58.212.131,443,0.049447000000000005,0.023058000000000002,0.018729,0.049589999999999995,0.0,0.10751300000000001,0.10780799999999999
1338,https://www.google.com.pk,2,ok,216.58.212.163,443,0.029639999999999996,0.011732,0.010522,0.029858999999999997,0.0,0.06730900000000001,0.06852000000000001
1375,https://www.teachable.com,2,ok,104.19.239.117,443,0.04488,0.016521,0.005572,0.045031,0.0,0.070603,0.070681
1388,https://www.g.co,2,ok,172.217.23.174,443,0.061407,0.043576,0.042026999999999995,0.061526,0.0,0.070135,0.07023
1408,https://www.blogspot.ca,2,ok,172.217.22.41,443,0.060493,0.043108,0.041973,0.060612,0.0,0.683896,0.68401
1423,https://www.google.dz,2,ok,172.217.23.131,443,0.034964999999999996,0.012523000000000001,0.011261,0.035051,0.0,0.08379099999999999,0.084202
1447,https://www.elwatannews.com,2,ok,172.67.26.111,443,0.029293,0.008017,0.007117,0.029401999999999998,0.0,0.079151,0.086355
1454,https://www.iherb.com,2,ok,104.16.110.36,443,0.026397000000000004,0.007644,0.006435,0.026602999999999998,0.0,0.11068900000000001,0.11074200000000001
1465,https://www.google.com.pe,2,ok,172.217.21.195,443,0.032083,0.013634,0.012149,0.032208999999999995,0.0,0.08058799999999999,0.08104199999999999
1500,https://www.clarin.com,2,ok,104.18.19.22,443,0.026808,0.0065780000000000005,0.005638000000000001,0.026938999999999998,0.0,0.056641,0.05776799999999999
1510,https://www.cell.com,2,ok,104.18.123.114,443,0.141698,0.12598099999999998,0.124793,0.14181,0.0,0.33131,0.331453
1513,https://www.blogspot.de,2,ok,172.217.22.41,443,0.035556,0.015479,0.012676999999999999,0.035656,0.0,0.666554,0.666664
1573,https://www.cloudinary.com,2,ok,162.159.137.83,443,0.053514,0.022317,0.020087999999999998,0.053653,0.0,0.198183,0.198498
1577,https://www.athemes.com,2,ok,104.26.14.88,443,0.038001,0.014355000000000001,0.013323,0.038122,0.0,0.238625,0.238671
1580,https://www.about.google,2,ok,172.217.23.174,443,0.044913,0.022188,0.018184,0.045085,0.0,0.054134,0.054236
1606,https://www.google.pt,2,ok,172.217.16.131,443,0.03614,0.013915,0.012546999999999999,0.036242,0.0,0.079167,0.079743
1635,https://www.pdfdrive.com,2,ok,172.67.73.17,443,0.040570999999999996,0.01489,0.00632,0.040666,0.0,0.20905100000000001,0.209432
1652,https://www.google.com.co,2,ok,172.217.22.67,443,0.036746,0.014256999999999999,0.012573,0.036913,0.0,0.076686,0.077185
1666,https://www.000webhost.com,2,ok,104.18.108.8,443,0.041453,0.009616,0.008594,0.041851,0.0,0.7153010000000001,0.9130729999999999
1679,https://www.v2ex.com,2,ok,172.67.3.188,443,0.038401,0.008818000000000001,0.007829000000000001,0.038558999999999996,0.0,0.759696,0.9447629999999999
1681,https://www.boutell.co.uk,2,ok,77.72.2.19,443,0.072852,0.032358,0.018646,0.07299,0.0,0.088426,0.102025
1728,https://www.boingboing.net,2,ok,104.22.41.69,443,0.024556,0.006647,0.00543,0.024694999999999998,0.0,0.652399,0.652522
1746,https://www.google.se,2,ok,216.58.210.3,443,0.035213999999999995,0.012383,0.01085,0.035302999999999994,0.0,0.077056,0.07746
1761,https://www.transferwise.com,2,ok,104.16.40.16,443,0.050181,0.008029999999999999,0.006845,0.050293,0.0,0.086374,0.086464
1780,https://www.buffer.com,2,ok,104.16.140.52,443,0.035427999999999994,0.007114,0.005947,0.035617,0.0,0.06023,0.060297
1786,https://www.codepen.io,2,ok,104.17.14.48,443,0.031255,0.014922999999999999,0.013621000000000001,0.03137,0.0,0.042158,0.042303
1793,https://www.macrumors.com,2,ok,172.67.22.130,443,0.030216000000000003,0.011175,0.010193,0.030320999999999997,0.0,0.067301,0.07269
1817,https://www.blogspot.com.es,2,ok,172.217.22.41,443,0.033587,0.015811000000000002,0.015015,0.033739,0.0,0.605046,0.605172
1825,https://www.google.ae,2,ok,142.250.74.195,443,0.034718,0.014616999999999998,0.012608,0.034875,0.0,0.076762,0.076928
1841,https://www.blogspot.fr,2,ok,172.217.22.41,443,0.031370999999999996,0.013678999999999998,0.011826999999999999,0.03154,0.0,0.602139,0.60227
1861,https://www.arduino.cc,2,ok,172.67.5.5,443,0.021927000000000002,0.007856,0.007001,0.022017,0.0,0.138845,0.13895
1894,https://www.hamariweb.com,2,ok,172.67.15.64,443,0.033556,0.011424,0.006894,0.033717000000000004,0.0,0.090403,0.092922
1984,https://www.atlasobscura.com,2,ok,172.67.74.153,443,0.050886,0.015472999999999999,0.006683,0.051009,0.0,0.9372510000000001,1.321664
1990,https://www.google.hu,2,ok,172.217.22.99,443,0.032632,0.012112000000000001,0.010941,0.032751999999999996,0.0,0.075725,0.076055
2028,https://www.nerdwallet.com,2,ok,104.18.23.225,443,0.030177999999999996,0.01108,0.0075379999999999996,0.030269,0.0,0.5616359999999999,0.6756949999999999
2061,https://www.lifehack.org,2,ok,104.20.199.58,443,0.036412,0.021683,0.0206,0.036527,0.0,0.102156,0.10242799999999999
2114,https://www.mass.gov,2,ok,104.17.86.186,443,0.23478800000000002,0.207765,0.20683600000000002,0.23491599999999999,0.0,0.285195,0.287933
2120,https://www.google.co.il,2,ok,142.250.74.195,443,0.034359,0.012329999999999999,0.011090000000000001,0.034443,0.0,0.079626,0.080014
2145,https://www.hubspot.net,2,ok,199.60.103.226,443,0.039120999999999996,0.023319,0.022234999999999998,0.039262,0.0,1.094067,1.094109
2160,https://www.thinkwithgoogle.com,2,ok,216.58.205.241,443,0.034194999999999996,0.011962,0.010872,0.034339999999999996,0.0,0.910775,1.238497
2183,https://www.recaptcha.net,2,ok,216.58.212.131,443,0.037919,0.012835,0.011452,0.038072,0.0,0.09009600000000001,0.09023099999999999
2271,https://www.wireshark.org,2,ok,104.26.11.240,443,0.023301,0.007017,0.005596,0.023406,0.0,0.49526899999999996,0.708014
2286,https://www.chromium.org,2,ok,216.239.32.27,443,0.060129999999999996,0.041604,0.039499,0.060246,0.0,0.462891,0.47614799999999996
2297,https://www.google.cz,2,ok,172.217.18.99,443,0.029856,0.011867,0.010634000000000001,0.029970999999999998,0.0,0.11389200000000001,0.11419800000000001
2366,https://www.google.ie,2,ok,172.217.16.163,443,0.031902,0.011746,0.010583,0.032033,0.0,0.0846,0.084747
2378,https://www.retailmenot.com,2,ok,104.18.1.89,443,0.041878,0.023162000000000002,0.022313999999999997,0.041971,0.0,0.06816900000000001,0.06829199999999999
2386,https://www.sciencealert.com,2,ok,104.26.10.84,443,0.22729499999999997,0.21194200000000002,0.210648,0.227388,0.0,0.445896,0.446226
2460,https://www.propublica.org,2,ok,104.16.251.51,443,0.026722000000000003,0.00982,0.008593,0.026831999999999998,0.0,0.42676899999999995,0.42888000000000004
2462,https://www.sabq.org,2,ok,104.18.26.32,443,0.029642,0.007043000000000001,0.005862,0.029735,0.0,0.095817,0.09590800000000001
2468,https://www.rd.com,2,ok,104.18.25.214,443,0.025747000000000003,0.007403,0.006056000000000001,0.025889999999999996,0.0,0.053433,0.06084
2564,https://www.tawk.to,2,ok,104.22.24.131,443,0.027089999999999996,0.01122,0.009922,0.027197000000000002,0.0,0.9617190000000001,0.964383
2568,https://www.flightradar24.com,2,ok,104.17.44.52,443,0.043379,0.021795,0.020511,0.043470999999999996,0.0,0.597108,0.621781
2573,https://www.jkforum.net,2,ok,104.20.193.74,443,0.044224,0.023983,0.023198,0.044315,0.0,0.338495,0.338559
2584,https://www.blogspot.com.au,2,ok,172.217.22.41,443,0.146521,0.12283800000000002,0.121725,0.146655,0.0,0.812139,0.812739
2585,https://www.neobux.com,2,ok,104.16.41.15,443,0.026048,0.006895999999999999,0.005677000000000001,0.026139,0.0,0.041157,0.041254
2623,https://www.lentainform.com,2,ok,104.19.217.61,443,0.028974,0.015632,0.01464,0.02908,0.0,0.32067399999999996,0.321044
2634,https://www.rte.ie,2,ok,104.18.142.17,443,0.025960000000000004,0.00941,0.006203,0.026066000000000002,0.0,0.041552,0.045605
2669,https://www.google.dk,2,ok,172.217.23.99,443,0.035039999999999995,0.01241,0.010612,0.035161000000000005,0.0,0.077602,0.077882
2673,https://www.ahajournals.org,2,ok,104.18.21.186,443,0.14439000000000002,0.127413,0.126422,0.144533,0.0,0.9644379999999999,0.964534
2679,https://www.ojooo.com,2,ok,104.26.5.139,443,0.03433,0.017368,0.016155000000000003,0.034423,0.0,0.081698,0.08192
2701,https://www.centrosenervida.com,2,ok,185.162.171.144,443,0.089558,0.043099,0.017177,0.089641,0.0,0.124277,0.124326
2706,https://www.andhrajyothy.com,2,ok,172.67.69.232,443,0.064807,0.015465000000000001,0.0068650000000000004,0.064932,0.0,0.986632,1.133208
2762,https://www.google.bg,2,ok,216.58.212.131,443,0.047277,0.025629000000000002,0.023359,0.047383,0.0,0.093816,0.09396900000000001
2768,https://www.creativemarket.com,2,ok,104.18.23.227,443,0.029356,0.014172,0.012846999999999999,0.029448000000000002,0.0,0.083151,0.084694
2773,https://www.socialblade.com,2,ok,104.26.1.138,443,0.029389,0.009415,0.008452,0.0295,0.0,0.164518,0.16462100000000002
