no,website,responseStart,domInteractive,domComplete,nextHopProtocol
1,https://www.google.com,253.9199999991979,361.3900000000285,1138.0599999993137,h2
2,https://www.facebook.com,437.29000000166707,1094.5800000008603,1612.3650000008638,h2
3,https://www.youtube.com,112.82000000028347,6306.674999999814,11361.994999999297,h2
7,https://www.instagram.com,423.8150000001042,792.5999999988562,821.3299999988521,h2
18,https://www.doubleclick.net,121.8300000000454,1040.2799999992567,1108.5800000000745,h2
21,https://www.googletagmanager.com,10.51499999994121,1012.284999998883,1012.4099999993632,h2
34,https://www.googleusercontent.com,22.789999999076826,186.54500000047847,224.20000000056461,h2
37,https://www.goo.gl,148.3299999999872,213.89499999895634,226.22000000046683,h2
42,https://www.blogspot.com,1114.480000000185,1562.2400000011112,1663.735000000088,h2
45,https://www.google-analytics.com,32.859999999345746,748.5299999989365,778.8149999996676,h2
48,https://www.fbcdn.net,419.48499999853084,911.7049999986193,1212.985000000117,h2
55,https://www.myshopify.com,176.50999999932537,307.28499999895575,341.83999999913794,h2
67,https://www.medium.com,1665.9249999993335,4886.160000000018,7001.2449999994715,h2
75,https://www.google.com.hk,108.07000000022526,524.5949999989534,1342.17499999977,h2
84,https://www.googlevideo.com,59.385000000474975,177.63000000013562,177.79500000142434,h3-Q050
94,https://www.cloudflare.com,255.7250000008935,1270.4799999992247,3181.9649999997637,h2
95,https://www.googleadservices.com,13.44500000050175,74.84000000113156,137.24499999989348,h2
114,https://www.google.co.in,113.56999999952677,481.40000000057626,1288.2650000010472,h2
127,https://www.tinyurl.com,1049.205000001166,1307.8249999998661,1893.5500000006869,h2
131,https://www.google.de,118.55500000092434,499.6850000006816,1904.4400000002497,h2
132,https://www.yy.com,1598.135000000184,7592.619999999442,11963.284999999814,h2
146,https://www.google.co.jp,113.84999999972933,514.4299999992654,1223.6749999992753,h2
153,https://www.youtube-nocookie.com,75.50499999888416,172.78999999871303,231.35000000002037,h2
157,https://www.google.com.br,111.17500000000291,406.6950000014913,1215.584999999919,h2
179,https://www.google.co.uk,107.01499999959196,595.5249999988155,1257.594999999128,h2
188,https://www.google.cn,61.23499999921478,230.66499999913503,291.1949999997887,h2
190,https://www.blogger.com,286.41500000048836,1085.9250000012253,1189.1250000007858,h2
200,https://www.fb.com,530.6799999998475,1024.3150000005699,1465.4399999999441,h2
220,https://www.google.es,115.15499999950407,388.4749999997439,991.9399999998859,h2
225,https://www.google.fr,110.87500000030559,437.6200000006065,1214.560000000347,h2
227,https://www.google.ru,140.6700000006822,451.9250000012107,1349.6400000003632,h2
244,https://www.google.it,116.57999999988533,387.16999999996915,1245.4649999999674,h2
273,https://www.gmail.com,397.15500000056636,1072.1950000006473,1183.0549999995128,h2
282,https://www.android.com,27.20500000032189,660.0300000009156,972.6550000013958,h2
284,https://www.googletagservices.com,76.25000000007276,202.6399999995192,203.98000000022876,h2
294,https://www.addtoany.com,43.93000000163738,307.5250000001688,416.2900000010268,h2
298,https://www.google.ca,119.4950000008248,351.86000000066997,1104.1999999997643,h2
313,https://www.google.com.sg,100.71000000061758,552.5250000009692,1636.3250000013068,h2
326,https://www.google.com.tw,129.52500000028522,409.75000000071304,1001.2500000011642,h2
333,https://www.discord.com,83.88500000000931,2728.3099999986007,3260.3799999997136,h2
337,https://www.tandfonline.com,632.6699999990524,1586.1100000001898,4388.264999999592,h2
341,https://www.shopify.com,208.56499999899825,950.3399999994144,1117.7999999999884,h2
351,https://www.pixabay.com,494.52500000006694,709.7950000006676,959.114999999656,h2
375,https://www.pki.goog,104.71999999936088,304.72499999996217,374.1250000002765,h2
377,https://www.crashlytics.com,290.7500000001164,852.4800000013784,4508.050000000367,h2
383,https://www.google.com.mx,141.92000000002736,672.4300000005314,1300.2350000006118,h2
394,https://www.hubspot.com,382.434999999532,1173.334999999497,1830.645000000004,h2
415,https://www.google.com.tr,146.33499999945343,517.0299999990675,1332.4499999998807,h2
