no,website,http_version,status,remote_ip,remote_port,time_appconnect,time_connect,time_namelookup,time_pretransfer,time_redirect,time_starttransfer,time_total
7485,https://www.yifysubtitles.org,2,ok,104.28.25.84,443,0.076509,0.027587,0.016494,0.076644,0.000000,0.106140,0.106192
7570,https://www.narrative.io,2,ok,199.60.103.30,443,0.143637,0.128448,0.126332,0.143782,0.000000,1.016249,1.019424
7573,https://www.jomashop.com,2,ok,104.20.213.46,443,0.051108,0.008670,0.007497,0.051237,0.000000,0.180986,0.181419
7599,https://www.servimg.com,2,ok,104.28.1.55,443,0.056714,0.028140,0.019575,0.056821,0.000000,0.147875,0.147968
7608,https://www.zblogcn.com,2,ok,104.24.104.6,443,0.347443,0.325135,0.316463,0.347591,0.000000,1.622134,1.622412
7687,https://www.actionnetwork.org,2,ok,104.22.12.105,443,0.043404,0.007478,0.006716,0.043537,0.000000,0.591612,0.591742
7703,https://www.shopifypreview.com,2,ok,23.227.38.37,443,0.031615,0.014407,0.013556,0.031742,0.000000,0.252140,0.252600
7836,https://www.google.com.lb,2,ok,172.217.22.3,443,0.029556,0.011768,0.011025,0.029665,0.000000,0.067574,0.067781
7853,https://www.redstate.com,2,ok,104.18.16.211,443,0.033230,0.011042,0.009902,0.033465,0.000000,0.044896,0.045012
7859,https://www.smarttradecoin.com,2,ok,104.26.14.238,443,0.026116,0.006920,0.005935,0.026262,0.000000,0.070006,0.070096
7868,https://www.brightlocal.com,2,ok,104.16.20.25,443,0.031202,0.008775,0.007674,0.031293,0.000000,0.052255,0.054454
7870,https://www.gotporn.com,2,ok,104.26.1.144,443,0.024172,0.006849,0.005710,0.024305,0.000000,0.208163,0.338055
7886,https://www.workplace.com,2,ok,69.171.250.15,443,0.029129,0.010042,0.007941,0.029220,0.000000,0.486624,0.572148
7898,https://www.google.co.ke,2,ok,142.250.74.195,443,0.033523,0.014665,0.011799,0.033616,0.000000,0.075706,0.075856
7926,https://www.chrono24.com,2,ok,104.17.217.13,443,0.033057,0.010007,0.008743,0.033181,0.000000,0.088975,0.091869
7927,https://www.google.ge,2,ok,172.217.16.195,443,0.095505,0.077179,0.075773,0.095602,0.000000,0.141999,0.142170
7930,https://www.google.cat,2,ok,172.217.22.3,443,0.045288,0.023450,0.021739,0.045413,0.000000,0.088776,0.089135
7940,https://www.yankodesign.com,2,ok,172.67.69.79,443,0.059572,0.021709,0.013004,0.059852,0.000000,0.764247,0.783009
7966,https://www.apkmirror.com,2,ok,104.19.132.58,443,0.038922,0.015002,0.013825,0.039216,0.000000,0.067535,0.067658
7972,https://www.cloudflare-dns.com,2,ok,104.16.249.249,443,0.031873,0.009042,0.008035,0.031991,0.000000,0.822656,0.868695
7984,https://www.google.com.kh,2,ok,172.217.16.163,443,0.746056,0.726881,0.725592,0.746159,0.000000,0.786503,0.786656
8089,https://www.google.lu,2,ok,172.217.23.163,443,0.030551,0.011888,0.010676,0.030643,0.000000,0.073346,0.073822
8138,https://www.chrome.com,2,ok,216.239.32.27,443,0.029979,0.011562,0.010355,0.030127,0.000000,0.038942,0.039136
8139,https://www.yangsenshoubao.com,2,ok,104.31.67.244,443,0.046647,0.019478,0.010788,0.046754,0.000000,0.061754,0.061850
8149,https://www.destructoid.com,2,ok,172.67.38.62,443,0.029399,0.011437,0.010278,0.029509,0.000000,0.054718,0.055773
8165,https://www.cibercuba.com,2,ok,104.26.10.132,443,0.029069,0.011900,0.010917,0.029177,0.000000,0.062919,0.065766
8170,https://www.smrtb.com,2,ok,104.26.3.146,443,0.030460,0.013828,0.012691,0.030606,0.000000,0.053092,0.053365
8179,https://www.clutch.co,2,ok,104.24.253.3,443,0.046783,0.015254,0.006567,0.046918,0.000000,0.075002,0.075058
8202,https://www.blogspot.mx,2,ok,172.217.22.41,443,0.036566,0.017736,0.012717,0.036715,0.000000,0.606185,0.606440
8308,https://www.googlehosted.com,0,error,172.217.22.97,443,0.000000,0.015263,0.013487,0.000000,0.000000,0.000000,0.040570
8323,https://www.ethnos.gr,2,ok,104.27.120.115,443,0.048651,0.014848,0.006313,0.048788,0.000000,0.095157,0.114621
8325,https://www.blogspot.ch,2,ok,172.217.22.41,443,0.034589,0.016341,0.014263,0.034749,0.000000,1.017854,1.017982
8345,https://www.moveon.org,2,ok,104.22.8.66,443,0.051992,0.036153,0.034953,0.052095,0.000000,0.706755,0.706858
8358,https://www.google.am,2,ok,172.217.23.131,443,0.033442,0.014958,0.011493,0.033565,0.000000,0.077664,0.077848
8384,https://www.gcu.edu,2,ok,104.17.108.55,443,0.046599,0.024244,0.023157,0.046718,0.000000,0.064806,0.066888
8394,https://www.google.hn,2,ok,172.217.23.99,443,0.029467,0.011578,0.010131,0.029574,0.000000,0.070676,0.071017
8400,https://www.google.com.om,2,ok,172.217.18.99,443,0.030871,0.013216,0.011776,0.030963,0.000000,0.072922,0.073903
8414,https://www.google.com.pr,2,ok,216.58.212.131,443,0.061229,0.043515,0.042272,0.061339,0.000000,0.101742,0.102258
8434,https://www.google.cd,2,ok,172.217.16.163,443,0.030829,0.011921,0.010886,0.030992,0.000000,0.073616,0.073893
8480,https://www.cookieconsent.com,2,ok,104.24.109.21,443,0.040624,0.014451,0.005783,0.040729,0.000000,0.059172,0.060556
8490,https://www.google.com.ni,2,ok,216.58.207.67,443,0.199145,0.178627,0.177393,0.199290,0.000000,0.237827,0.238259
8525,https://www.icook.tw,2,ok,104.17.46.56,443,0.022412,0.008059,0.007313,0.022534,0.000000,0.171722,0.171768
8569,https://www.jewishvirtuallibrary.org,2,ok,104.18.36.54,443,0.072403,0.047061,0.038550,0.072492,0.000000,0.093614,0.094190
8581,https://www.woyaowz.cn,2,ok,104.18.46.3,443,0.064898,0.033075,0.024559,0.065007,0.000000,0.237046,0.237178
8591,https://www.ionicframework.com,2,ok,172.67.69.29,443,0.049139,0.029112,0.020738,0.049244,0.000000,0.080262,0.080321
8594,https://www.fee.org,2,ok,104.26.11.62,443,0.053103,0.039033,0.038103,0.053222,0.000000,0.116177,0.116222
8611,https://www.zurb.com,2,ok,172.67.71.221,443,0.049608,0.020031,0.009349,0.049699,0.000000,0.070989,0.071037
8645,https://www.google.ci,2,ok,216.58.212.163,443,0.033179,0.013419,0.012156,0.033315,0.000000,0.077440,0.078065
8663,https://www.blogspot.gr,2,ok,172.217.22.41,443,0.049459,0.029786,0.029058,0.049594,0.000000,0.619026,0.619136
8694,https://www.quantummetric.com,2,ok,172.67.20.158,443,0.044457,0.008556,0.005655,0.044555,0.000000,0.906785,0.907165
8705,https://www.weiqingbao.cc,2,ok,104.28.11.209,443,0.758469,0.736299,0.727318,0.758594,0.000000,1.419656,1.428108
8721,https://www.google.com.et,2,ok,172.217.21.195,443,0.253886,0.231244,0.228167,0.254018,0.000000,0.293128,0.293817
8722,https://www.vivo.sx,2,ok,104.28.11.204,443,0.062494,0.038779,0.029900,0.062592,0.000000,0.110849,0.110965
