no,website,responseStart,domInteractive,domComplete,nextHopProtocol
3168,https://www.wowkeren.com,693.4299999993527,2040.289999999004,3016.924999999901,h2
3187,https://www.fanfiction.net,39.73500000029162,351.25499999958265,583.5299999998824,h2
3230,https://www.akhbarelyom.com,190.5750000005355,1837.1999999999389,2088.690000000497,h2
3242,https://www.law.com,689.3650000001799,1946.7050000002928,14458.819999999832,h2
3251,https://www.google.com.bd,123.75499999870954,451.680000000124,1150.3149999989546,h2
3305,https://www.worldwildlife.org,380.8100000005652,1335.9249999994063,2388.6249999995925,h2
3306,https://www.whitepages.com,42.43500000120548,200.6149999997433,260.8749999999418,h2
3317,https://www.google.no,119.80000000039581,364.11500000031083,973.0600000002596,h2
3327,https://www.roozaneh.net,201.61000000007334,260.9900000006746,580.7399999994232,h2
3328,https://www.panoramio.com,53.41000000044005,312.47000000075786,329.55000000038126,h2
3344,https://www.wpastra.com,1132.2949999994307,2807.505000000674,4553.695000000516,h2
3353,https://www.ad4m.at,46.51999999987311,206.94000000003143,213.08999999928346,h2
3356,https://www.standardmedia.co.ke,567.0750000008411,754.4550000002346,1371.2699999996403,h2
3357,https://www.css-tricks.com,338.0699999997887,1940.2350000000297,2298.4400000004825,h2
3366,https://www.royalcbd.com,44.63500000019849,279.06000000075437,465.5450000009296,h2
3417,https://www.google.kz,107.07000000002154,437.88000000131433,1224.8900000013236,h2
3422,https://www.leo.org,238.7250000010681,1257.3100000008708,3330.6549999997515,h2
3446,https://www.poki.com,197.96999999925902,778.9799999991374,4748.499999999694,h2
3460,https://www.googlecode.com,44.68999999880907,272.2649999996065,309.52499999875727,h2
3483,https://www.parliament.uk,114.90500000036263,266.5149999993446,2710.189999999784,h2
3491,https://www.vecteezy.com,549.6399999992718,1189.6249999990687,5151.615000000675,h2
3529,https://www.uptobox.com,203.00499999939348,1147.9550000003655,1453.4650000005058,h2
3564,https://www.adbtc.top,160.2949999996781,658.9399999993475,986.4799999995739,h2
3603,https://www.glassdoor.co.in,608.4949999985838,1072.8499999986525,7201.755000000048,h2
3622,https://www.adskeeper.co.uk,477.04499999963446,2094.6050000002288,2307.134999999107,h2
3652,https://www.ghanaweb.com,97.2700000002078,503.0450000012934,1469.8500000013155,h2
3659,https://www.blogspot.com.br,1288.2699999991019,1731.0099999995145,1998.939999999493,h2
3695,https://www.google.lt,140.1000000005297,527.3550000001705,1472.0700000016222,h2
